0,36,10.8,25,,,,31.5,12.5,,,,
4,36,10.8,25,,,,35.2,14.5,25,,,
20,36.1,10.8,25,,,,36.1,16,25,,,
40,34.9,13.4,25,,,,35.1,16,25,,,
60,34.2,18.2,25,,,,34.6,15.8,25,,,
80,34.2,17.4,25,,,,34.5,15.5,25,,,
100,33.9,17.3,25,,,,35,15.6,25,,,
120,34.7,16,25,,,,35.5,15.8,25,,,
140,35.4,15.1,25,,,,36.4,16,25,,,
160,35,15.1,25,,,,36.4,15.8,25,,,
180,30.6,13.5,25,,,,32.2,16.1,25,,,
200,29.4,12.6,25,,,,30.6,17.1,25,,,
220,30.7,13.8,25,,,,31.2,15.6,25,,,
240,30.6,14.5,25,,,,31.2,13.9,25,,,
260,30,14.8,25,,,,30.1,13.8,25,,,
280,29.5,14.7,25,,,,30,13.3,25,,,
300,29.8,14.2,25,,,,30,13.4,25,,,
320,30.2,13.8,25,,,,29.4,13.5,25,,,
340,29.4,14.3,25,,,,29.1,13.3,25,,,
360,28.9,13.6,25,,,,29.2,13.4,25,,,
380,29.1,13.5,25,,,,29.2,13.8,25,,,
400,29.7,14.2,25,,,,29.6,15,25,,,
420,31.9,14.4,25,,,,31.5,14.8,25,,,
440,29.1,13.2,25,,,,29.8,14.2,25,,,
460,27,11.6,25,,,,27.8,14.2,25,,,
480,26.8,11,25,,,,27.9,16,25,,,
490,26.4,10.6,25,,,,28.3,16.3,25,,,
500,11.2,3.2,,,,,12,9,,,,
520,11.4,4.2,,,,,12,8.1,,,,
540,12.1,5.5,,,,,12,7,,,,
560,12,7.4,,,,,12,5.2,,,,
570,12,8.1,,,,,11.5,5,,,,
