0,25,7.5,19,,,,24.5,8.5,,,,
3,25,7.5,19,,,,26.8,10.6,19,,,
20,25.7,6.9,19,,,,26.6,10.4,19,,,
40,26.7,9.2,19,,,,26,10.3,19,,,
60,25.6,9.5,19,,,,26.1,10.5,19,,,
80,25.5,10.4,19,,,,25.7,10.8,19,,,
100,24.7,8.7,19,,,,25.6,10.5,19,,,
120,24,8.5,19,,,,24.5,10.3,19,,,
140,22.7,9.5,19,,,,23.8,9.6,19,,,
160,22.5,10.3,19,,,,21.4,9,19,,,
180,23.3,10.4,19,,,,21.2,8.5,19,,,
200,21.8,9.1,19,,,,19.7,9.3,19,,,
220,19.2,8.9,19,,,,19.3,10.1,19,,,
240,19.2,9.4,19,,,,19.2,10.6,19,,,
260,19.8,9.9,19,,,,18.9,7.8,19,,,
280,21.2,9.6,19,,,,19.2,7.9,19,,,
300,20.8,8.4,19,,,,20.5,8.6,19,,,
307,18.4,7.4,,,,,19.6,7.8,,,,
312,11.4,5,,,,,12,7.6,,,,
320,11.7,5.7,,,,,12,7,,,,
340,11.9,7.5,,,,,11.6,5.1,,,,
357,12,7.6,,,,,12,5,,,,
